Year,Location,County,Variety ,Planting_Date,PI_Predicted,PI_Average,PI_Observed,Days_to_PI,PD_Observed,Days_to_PD,Total_Days_to_PD,Heading_Predicted,Heading_Average,Heading_Observed,Days_to_Heading,Total_Days_to_Heading,R7_Predicted,R7_Average,R7_Predicted_3Weeks,R7_Observed,Days_to_R7,Total_Days_to_R7,R7_Estimate
2024,Wylie,Glenn,M206,2024-05-23,2024-07-03,2024-07-08,2024-07-07,46,2024-07-11,4,49,2024-08-01,2024-08-09,2024-08-11,31,80,2024-08-19,2024-08-29,2024-09-01,2024-09-03,23,103,
2024,Wylie,Glenn,M209,2024-05-23,,,2024-07-07,46,2024-07-16,9,54,,,2024-08-17,32,86,,,2024-09-07,2024-09-16,30,116,
2024,Wylie,Glenn,M210,2024-05-23,,,2024-07-09,48,2024-07-12,3,50,,,2024-08-10,29,79,,,2024-08-31,2024-09-04,25,104,
2024,Wylie,Glenn,M211,2024-05-23,,,2024-07-10,49,2024-07-12,2,50,,,2024-08-17,36,86,,,2024-09-07,2024-09-13,27,113,
2024,Wylie,Glenn,M401,2024-05-23,,,2024-07-11,50,2024-07-19,8,57,2024-09-05,2024-09-15,2024-09-20,63,120,,,,,,,
2024,BosworthRue,Yuba,M105,2024-05-25,2024-07-09,2024-07-12,2024-07-10,47,2024-07-16,6,52,2024-08-10,2024-08-14,2024-08-15,30,82,2024-08-30,2024-09-02,2024-09-05,2024-09-09,25,107,
2024,BosworthRue,Yuba,M206,2024-05-25,2024-07-09,2024-07-12,2024-07-10,47,2024-07-16,6,52,2024-08-10,2024-08-14,2024-08-17,32,84,2024-08-31,2024-09-03,2024-09-07,2024-09-11,25,109,
2024,BosworthRue,Yuba,M209,2024-05-25,,,2024-07-10,47,2024-07-19,9,55,,,2024-08-25,37,92,,,2024-09-15,2024-09-21,27,119,
2024,BosworthRue,Yuba,M210,2024-05-25,,,2024-07-10,47,2024-07-17,7,53,,,2024-08-17,31,84,,,2024-09-07,2024-09-11,25,109,
2024,BosworthRue,Yuba,M211,2024-05-25,,,2024-07-12,49,2024-07-19,7,55,,,2024-08-24,36,91,,,2024-09-14,2024-09-17,24,115,
2024,BosworthRue,Yuba,M401,2024-05-25,,,2024-07-14,51,2024-07-20,6,56,2024-09-07,2024-09-17,2024-09-16,58,114,,,,,,,
